ElectionDate,PartyCode,PartyName,RaceCode,OfficeDesc,CountyCode,CountyName,Juris1num,Juris2num,Precincts,PrecinctsReporting,CanNameLast,CanNameFirst,CanNameMiddle,CanVotes
11/4/2014,REP,Republican,USR,United States Representative,ESC,Escambia,1,,79,79,Miller,Jeff,,62682
11/4/2014,REP,Republican,USR,United States Representative,HOL,Holmes,1,,6,6,Miller,Jeff,,2866
11/4/2014,REP,Republican,USR,United States Representative,OKA,Okaloosa,1,,52,52,Miller,Jeff,,44845
11/4/2014,REP,Republican,USR,United States Representative,SAN,Santa Rosa,1,,41,41,Miller,Jeff,,40029
11/4/2014,REP,Republican,USR,United States Representative,WAL,Walton,1,,21,21,Miller,Jeff,,14664
11/4/2014,DEM,Democrat,USR,United States Representative,ESC,Escambia,1,,79,79,Bryan,Jim,,30342
11/4/2014,DEM,Democrat,USR,United States Representative,HOL,Holmes,1,,6,6,Bryan,Jim,,578
11/4/2014,DEM,Democrat,USR,United States Representative,OKA,Okaloosa,1,,52,52,Bryan,Jim,,10965
11/4/2014,DEM,Democrat,USR,United States Representative,SAN,Santa Rosa,1,,41,41,Bryan,Jim,,9165
11/4/2014,DEM,Democrat,USR,United States Representative,WAL,Walton,1,,21,21,Bryan,Jim,,3926
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,ESC,Escambia,1,,79,79,Wichern,Mark,,4537
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,HOL,Holmes,1,,6,6,Wichern,Mark,,156
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,OKA,Okaloosa,1,,52,52,Wichern,Mark,,4998
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,SAN,Santa Rosa,1,,41,41,Wichern,Mark,,3899
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,WAL,Walton,1,,21,21,Wichern,Mark,,1691
11/4/2014,REP,Republican,USR,United States Representative,BAY,Bay,2,,44,44,Southerland,Steve,,39512
11/4/2014,REP,Republican,USR,United States Representative,CAL,Calhoun,2,,11,11,Southerland,Steve,,2771
11/4/2014,REP,Republican,USR,United States Representative,FRA,Franklin,2,,8,8,Southerland,Steve,,2515
11/4/2014,REP,Republican,USR,United States Representative,GAD,Gadsden,2,,25,25,Southerland,Steve,,4814
11/4/2014,REP,Republican,USR,United States Representative,GUL,Gulf,2,,9,9,Southerland,Steve,,3456
11/4/2014,REP,Republican,USR,United States Representative,HOL,Holmes,2,,3,3,Southerland,Steve,,1635
11/4/2014,REP,Republican,USR,United States Representative,JAC,Jackson,2,,0,0,Southerland,Steve,,8844
11/4/2014,REP,Republican,USR,United States Representative,JEF,Jefferson,2,,0,0,Southerland,Steve,,2783
11/4/2014,REP,Republican,USR,United States Representative,LEO,Leon,2,,132,132,Southerland,Steve,,37793
11/4/2014,REP,Republican,USR,United States Representative,LIB,Liberty,2,,8,8,Southerland,Steve,,1733
11/4/2014,REP,Republican,USR,United States Representative,MAD,Madison,2,,7,7,Southerland,Steve,,773
11/4/2014,REP,Republican,USR,United States Representative,TAY,Taylor,2,,0,0,Southerland,Steve,,4333
11/4/2014,REP,Republican,USR,United States Representative,WAK,Wakulla,2,,12,12,Southerland,Steve,,6520
11/4/2014,REP,Republican,USR,United States Representative,WAS,Washington,2,,16,16,Southerland,Steve,,5780
11/4/2014,DEM,Democrat,USR,United States Representative,BAY,Bay,2,,44,44,Graham,Gwen,,17072
11/4/2014,DEM,Democrat,USR,United States Representative,CAL,Calhoun,2,,11,11,Graham,Gwen,,1399
11/4/2014,DEM,Democrat,USR,United States Representative,FRA,Franklin,2,,8,8,Graham,Gwen,,1809
11/4/2014,DEM,Democrat,USR,United States Representative,GAD,Gadsden,2,,25,25,Graham,Gwen,,12747
11/4/2014,DEM,Democrat,USR,United States Representative,GUL,Gulf,2,,9,9,Graham,Gwen,,1684
11/4/2014,DEM,Democrat,USR,United States Representative,HOL,Holmes,2,,3,3,Graham,Gwen,,469
11/4/2014,DEM,Democrat,USR,United States Representative,JAC,Jackson,2,,0,0,Graham,Gwen,,6238
11/4/2014,DEM,Democrat,USR,United States Representative,JEF,Jefferson,2,,0,0,Graham,Gwen,,3502
11/4/2014,DEM,Democrat,USR,United States Representative,LEO,Leon,2,,132,132,Graham,Gwen,,69738
11/4/2014,DEM,Democrat,USR,United States Representative,LIB,Liberty,2,,8,8,Graham,Gwen,,919
11/4/2014,DEM,Democrat,USR,United States Representative,MAD,Madison,2,,7,7,Graham,Gwen,,777
11/4/2014,DEM,Democrat,USR,United States Representative,TAY,Taylor,2,,0,0,Graham,Gwen,,2351
11/4/2014,DEM,Democrat,USR,United States Representative,WAK,Wakulla,2,,12,12,Graham,Gwen,,4987
11/4/2014,DEM,Democrat,USR,United States Representative,WAS,Washington,2,,16,16,Graham,Gwen,,2404
11/4/2014,WRI,Write-In,USR,United States Representative,BAY,Bay,2,,44,44,Lee,Luther,,158
11/4/2014,WRI,Write-In,USR,United States Representative,CAL,Calhoun,2,,11,11,Lee,Luther,,5
11/4/2014,WRI,Write-In,USR,United States Representative,FRA,Franklin,2,,8,8,Lee,Luther,,0
11/4/2014,WRI,Write-In,USR,United States Representative,GAD,Gadsden,2,,25,25,Lee,Luther,,12
11/4/2014,WRI,Write-In,USR,United States Representative,GUL,Gulf,2,,9,9,Lee,Luther,,5
11/4/2014,WRI,Write-In,USR,United States Representative,HOL,Holmes,2,,3,3,Lee,Luther,,0
11/4/2014,WRI,Write-In,USR,United States Representative,JAC,Jackson,2,,0,0,Lee,Luther,,7
11/4/2014,WRI,Write-In,USR,United States Representative,JEF,Jefferson,2,,0,0,Lee,Luther,,0
11/4/2014,WRI,Write-In,USR,United States Representative,LEO,Leon,2,,132,132,Lee,Luther,,214
11/4/2014,WRI,Write-In,USR,United States Representative,LIB,Liberty,2,,8,8,Lee,Luther,,1
11/4/2014,WRI,Write-In,USR,United States Representative,MAD,Madison,2,,7,7,Lee,Luther,,1
11/4/2014,WRI,Write-In,USR,United States Representative,TAY,Taylor,2,,0,0,Lee,Luther,,2
11/4/2014,WRI,Write-In,USR,United States Representative,WAK,Wakulla,2,,12,12,Lee,Luther,,8
11/4/2014,WRI,Write-In,USR,United States Representative,WAS,Washington,2,,16,16,Lee,Luther,,9
11/4/2014,REP,Republican,USR,United States Representative,ALA,Alachua,3,,50,50,Yoho,Ted,,31571
11/4/2014,REP,Republican,USR,United States Representative,BRA,Bradford,3,,14,14,Yoho,Ted,,6163
11/4/2014,REP,Republican,USR,United States Representative,CLA,Clay,3,,42,42,Yoho,Ted,,45797
11/4/2014,REP,Republican,USR,United States Representative,CLM,Columbia,3,,0,0,Yoho,Ted,,13017
11/4/2014,REP,Republican,USR,United States Representative,DIX,Dixie,3,,10,10,Yoho,Ted,,3996
11/4/2014,REP,Republican,USR,United States Representative,GIL,Gilchrist,3,,10,10,Yoho,Ted,,4797
11/4/2014,REP,Republican,USR,United States Representative,HAM,Hamilton,3,,8,8,Yoho,Ted,,2233
11/4/2014,REP,Republican,USR,United States Representative,LAF,Lafayette,3,,5,5,Yoho,Ted,,2123
11/4/2014,REP,Republican,USR,United States Representative,LEV,Levy,3,,0,0,Yoho,Ted,,9181
11/4/2014,REP,Republican,USR,United States Representative,MAD,Madison,3,,7,7,Yoho,Ted,,2581
11/4/2014,REP,Republican,USR,United States Representative,MRN,Marion,3,,0,0,Yoho,Ted,,13848
11/4/2014,REP,Republican,USR,United States Representative,SUW,Suwannee,3,,16,16,Yoho,Ted,,9417
11/4/2014,REP,Republican,USR,United States Representative,UNI,Union,3,,8,8,Yoho,Ted,,3967
11/4/2014,DEM,Democrat,USR,United States Representative,ALA,Alachua,3,,50,50,Wheeler,Marihelen,,32407
11/4/2014,DEM,Democrat,USR,United States Representative,BRA,Bradford,3,,14,14,Wheeler,Marihelen,,2040
11/4/2014,DEM,Democrat,USR,United States Representative,CLA,Clay,3,,42,42,Wheeler,Marihelen,,12750
11/4/2014,DEM,Democrat,USR,United States Representative,CLM,Columbia,3,,0,0,Wheeler,Marihelen,,4823
11/4/2014,DEM,Democrat,USR,United States Representative,DIX,Dixie,3,,10,10,Wheeler,Marihelen,,1163
11/4/2014,DEM,Democrat,USR,United States Representative,GIL,Gilchrist,3,,10,10,Wheeler,Marihelen,,1054
11/4/2014,DEM,Democrat,USR,United States Representative,HAM,Hamilton,3,,8,8,Wheeler,Marihelen,,1365
11/4/2014,DEM,Democrat,USR,United States Representative,LAF,Lafayette,3,,5,5,Wheeler,Marihelen,,410
11/4/2014,DEM,Democrat,USR,United States Representative,LEV,Levy,3,,0,0,Wheeler,Marihelen,,3631
11/4/2014,DEM,Democrat,USR,United States Representative,MAD,Madison,3,,7,7,Wheeler,Marihelen,,2072
11/4/2014,DEM,Democrat,USR,United States Representative,MRN,Marion,3,,0,0,Wheeler,Marihelen,,8257
11/4/2014,DEM,Democrat,USR,United States Representative,SUW,Suwannee,3,,16,16,Wheeler,Marihelen,,2988
11/4/2014,DEM,Democrat,USR,United States Representative,UNI,Union,3,,8,8,Wheeler,Marihelen,,950
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,ALA,Alachua,3,,50,50,Lawson,Howard,Term Limits,1545
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,BRA,Bradford,3,,14,14,Lawson,Howard,Term Limits,297
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,CLA,Clay,3,,42,42,Lawson,Howard,Term Limits,1540
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,CLM,Columbia,3,,0,0,Lawson,Howard,Term Limits,437
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,DIX,Dixie,3,,10,10,Lawson,Howard,Term Limits,174
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,GIL,Gilchrist,3,,10,10,Lawson,Howard,Term Limits,129
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,HAM,Hamilton,3,,8,8,Lawson,Howard,Term Limits,92
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,LAF,Lafayette,3,,5,5,Lawson,Howard,Term Limits,86
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,LEV,Levy,3,,0,0,Lawson,Howard,Term Limits,486
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,MAD,Madison,3,,7,7,Lawson,Howard,Term Limits,91
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,MRN,Marion,3,,0,0,Lawson,Howard,Term Limits,899
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,SUW,Suwannee,3,,16,16,Lawson,Howard,Term Limits,322
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,UNI,Union,3,,8,8,Lawson,Howard,Term Limits,110
11/4/2014,REP,Republican,USR,United States Representative,BAK,Baker,4,,9,9,Crenshaw,Ander,,7083
11/4/2014,REP,Republican,USR,United States Representative,DUV,Duval,4,,149,149,Crenshaw,Ander,,146072
11/4/2014,REP,Republican,USR,United States Representative,NAS,Nassau,4,,16,16,Crenshaw,Ander,,24732
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,BAK,Baker,4,,9,9,Koniz,Gary,L.,323
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,DUV,Duval,4,,149,149,Koniz,Gary,L.,11933
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,NAS,Nassau,4,,16,16,Koniz,Gary,L.,1434
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,BAK,Baker,4,,9,9,Moser-Bartlett,Paula,,693
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,DUV,Duval,4,,149,149,Moser-Bartlett,Paula,,31528
11/4/2014,NPA,No Party Affiliation,USR,United States Representative,NAS,Nassau,4,,16,16,Moser-Bartlett,Paula,,3442
11/4/2014,WRI,Write-In,USR,United States Representative,BAK,Baker,4,,9,9,Pueschel,Deborah,Katz,1
11/4/2014,WRI,Write-In,USR,United States Representative,DUV,Duval,4,,149,149,Pueschel,Deborah,Katz,12
11/4/2014,WRI,Write-In,USR,United States Representative,NAS,Nassau,4,,16,16,Pueschel,Deborah,Katz,0
11/4/2014,REP,Republican,USR,United States Representative,ALA,Alachua,5,,14,14,Smith,Glo,,2907
11/4/2014,REP,Republican,USR,United States Representative,CLA,Clay,5,,6,6,Smith,Glo,,5900
11/4/2014,REP,Republican,USR,United States Representative,DUV,Duval,5,,78,78,Smith,Glo,,20827
