dup_check,candidate_id,name_id,county_lvl_election_id,state_lvl_election_id,electionyear,electiondate,partycode,partyname,racecode,racename,racename_category,countycode,countyname,district_circuitnumber,group_seatnumber,precincts,cannamefirst,cannamemiddle,cannamelast,runningmate,canvotes,county_totalvotes,county_lvl_on_ballot_count,max_county_lvl_on_ballot_count,local_state_election,county_percent_canvotes,place,prev_winner4_partycode,prev_winner4_partyname,prev_winner4_canname,prev_winner4_same_party,geo_fips,avg_monthly_annual_value,q1_avg_monthly_value,q2_avg_monthly_value,q3_avg_monthly_value,q4_avg_monthly_value,population,gdp,Personal Income,Per Capita Personal Income,population2,Total Violent Crime,Violent Crime Rate Per 100k,Violent Crime Rate Change,first_primary_to,second_primary_to,General Election,is_democrat,is_republican,is_independent
1,7396,29074,7553,7553,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,ALA,Alachua,23,0,36,Ed,,"Jennings, Jr.",,21366,27561,2,2,Local Election,77.52,1,DEM,Democrat,"Ed  Jennings, Jr.",1,12001,4.05,4.13,4.07,4.23,3.77,224614,7452846,5996886,26699,228607.0,1795,785.2,-6.7,29%,***,55%,1,0,0
1,7397,36406,7544,7544,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,ALA,Alachua,22,0,24,Perry,C.,"McGriff, Jr.",,14382,23706,3,3,Local Election,60.67,1,DEM,Democrat,"Perry C. McGriff, Jr",1,12001,4.05,4.13,4.07,4.23,3.77,224614,7452846,5996886,26699,228607.0,1795,785.2,-6.7,29%,***,55%,1,0,0
1,7403,41023,7402,7402,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,ALA,Alachua,10,0,1,Will,S.,Kendrick,,434,574,10,10,Local Election,75.61,1,REP,Republican,Sunny Carol Phillips,0,12001,4.05,4.13,4.07,4.23,3.77,224614,7452846,5996886,26699,228607.0,1795,785.2,-6.7,29%,***,55%,1,0,0
1,7405,22518,7480,7480,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,BAK,Baker,12,0,9,Aaron,,Bean,,4968,5976,6,6,Local Election,83.13,1,DEM,Democrat,Bobby  Hart,0,12003,4.8,4.97,4.7,4.83,4.7,23298,363804,504382,21649,22992.0,85,369.7,-8.3,29%,***,55%,0,1,0
1,7407,24644,7757,7757,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,BAY,Bay,7,0,15,Bev,,Kilmer,,7513,10885,9,9,Local Election,69.02,1,REP,Republican,Bev  Kilmer,1,12005,5.87,6.87,5.37,5.1,6.13,152741,4749763,4239096,27753,152186.0,1135,745.8,12.6,29%,***,55%,0,1,0
1,7409,22518,7482,7480,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,BRA,Bradford,12,0,20,Aaron,,Bean,,4912,6384,6,6,Local Election,76.94,1,REP,Republican,Aaron  Bean,1,12007,4.48,4.67,4.4,4.5,4.33,26306,428196,532149,20229,26517.0,130,490.3,-10.6,29%,***,55%,0,1,0
1,7414,35325,7578,7578,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,BRE,Brevard,30,0,62,Mike,,Haridopolos,,40319,50970,1,1,Local Election,79.1,1,REP,Republican,Mike  Haridopolos,1,12009,5.85,6.1,5.87,5.83,5.6,495425,13842274,14273399,28810,494102.0,3938,797.0,8.6,29%,***,55%,0,1,0
1,7415,35393,7580,7580,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,BRE,Brevard,31,0,51,Mitch,,Needelman,,33410,49976,1,1,Local Election,66.85,1,REP,Republican,Mitch  Needelman,1,12009,5.85,6.1,5.87,5.83,5.6,495425,13842274,14273399,28810,494102.0,3938,797.0,8.6,29%,***,55%,0,1,0
1,7416,25349,7582,7582,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,BRE,Brevard,32,0,53,Bob,,Allen,,29206,43042,2,2,Local Election,67.85,1,REP,Republican,Bob  Allen,1,12009,5.85,6.1,5.87,5.83,5.6,495425,13842274,14273399,28810,494102.0,3938,797.0,8.6,29%,***,55%,0,1,0
1,7417,33637,7568,7568,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,BRE,Brevard,29,0,49,L,Ralph,Poppell,,18701,36873,2,2,Local Election,50.72,1,REP,Republican,Randy  Ball,1,12009,5.85,6.1,5.87,5.83,5.6,495425,13842274,14273399,28810,494102.0,3938,797.0,8.6,29%,***,55%,0,1,0
1,7426,27383,7846,7846,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,BRO,Broward,91,0,76,Connie,,Mack,,32483,41072,2,2,Local Election,79.09,1,REP,Republican,Connie  Mack,1,12011,6.03,6.3,6.07,6.03,5.7,1690118,57770751,55539147,32861,1669153.0,8962,536.9,-8.7,29%,***,55%,0,1,0
1,7427,38995,7854,7854,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,BRO,Broward,96,0,57,Stacy,J.,Ritter,,31370,37176,1,1,Local Election,84.38,1,DEM,Democrat,Stacy  Ritter,1,12011,6.03,6.3,6.07,6.03,5.7,1690118,57770751,55539147,32861,1669153.0,8962,536.9,-8.7,29%,***,55%,1,0,0
1,7428,38156,7858,7858,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,BRO,Broward,98,0,62,Roger,Brian,Wishner,,30616,30684,1,1,Local Election,99.78,1,DEM,Democrat,Roger Brian Wishner,1,12011,6.03,6.3,6.07,6.03,5.7,1690118,57770751,55539147,32861,1669153.0,8962,536.9,-8.7,29%,***,55%,1,0,0
1,7431,32811,7850,7850,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,BRO,Broward,92,0,73,John,P. 'Jack',Seiler,,21907,25701,1,1,Local Election,85.24,1,DEM,Democrat,John P. 'Jack' Seiler,1,12011,6.03,6.3,6.07,6.03,5.7,1690118,57770751,55539147,32861,1669153.0,8962,536.9,-8.7,29%,***,55%,1,0,0
1,7432,35557,7856,7856,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,BRO,Broward,97,0,70,Nan,H.,Rich,,20533,40524,1,1,Local Election,50.67,1,DEM,Democrat,Nan H. Rich,1,12011,6.03,6.3,6.07,6.03,5.7,1690118,57770751,55539147,32861,1669153.0,8962,536.9,-8.7,29%,***,55%,1,0,0
1,7451,27357,7759,7757,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,CAL,Calhoun,7,0,13,Clifton,C.,Thomas,,2335,4166,9,9,Local Election,56.05,1,DEM,Democrat,Jamey  Westbrook,1,12013,5.29,5.43,5.27,5.33,5.13,12947,184011,237365,18334,13231.0,23,173.8,-33.2,29%,***,55%,1,0,0
1,7453,34166,7777,7777,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,CHA,Charlotte,72,0,35,Lindsay,M.,Harrington,,17089,21079,3,3,Local Election,81.07,1,REP,Republican,Lindsay M. Harrington,1,12015,5.78,5.77,5.73,6.0,5.63,150123,2730142,3922397,26128,148521.0,481,323.9,39.0,29%,***,55%,0,1,0
1,7456,31510,7789,7789,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,CHA,Charlotte,74,0,2,Jeff,,Kottkamp,,13,14,2,2,Local Election,92.86,1,REP,Republican,Jeff  Kottkamp,1,12015,5.78,5.77,5.73,6.0,5.63,150123,2730142,3922397,26128,148521.0,481,323.9,39.0,29%,***,55%,0,1,0
1,7463,35330,7498,7498,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,CLA,Clay,13,0,18,Mike,,Hogan,,13038,14972,2,2,Local Election,87.08,1,REP,Republican,Mike  Hogan,1,12019,5.08,5.2,5.2,5.2,4.7,150947,2373424,4351999,28831,149901.0,574,382.9,-14.7,29%,***,55%,0,1,0
1,7464,32442,7529,7526,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,CLA,Clay,21,0,9,Joe,H.,Pickens,,4465,6070,6,6,Local Election,73.56,1,REP,Republican,Joe H. Pickens,1,12019,5.08,5.2,5.2,5.2,4.7,150947,2373424,4351999,28831,149901.0,574,382.9,-14.7,29%,***,55%,0,1,0
1,7465,28984,7520,7520,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,CLA,Clay,20,0,10,Doug,,Wiles,,3574,5467,3,3,Local Election,65.37,1,REP,Republican,Karen  Stern,0,12019,5.08,5.2,5.2,5.2,4.7,150947,2373424,4351999,28831,149901.0,574,382.9,-14.7,29%,***,55%,1,0,0
1,7477,26301,7795,7795,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,CLL,Collier,75,0,8,Carole,,Green,,4858,5876,2,2,Local Election,82.68,1,REP,Republican,Carole  Green,1,12021,5.26,4.63,4.8,6.37,5.23,275490,9645584,12738779,46240,277457.0,1323,476.8,-1.9,29%,***,55%,0,1,0
1,7481,32970,7801,7801,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,CLL,Collier,77,0,5,Joseph,R.,Spratt,,251,349,4,4,Local Election,71.92,1,REP,Republican,Joseph R. Spratt,1,12021,5.26,4.63,4.8,6.37,5.23,275490,9645584,12738779,46240,277457.0,1323,476.8,-1.9,29%,***,55%,0,1,0
