ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	ALA	Alachua			69	69	Cheney	Bush	/	47762
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	BAK	Baker			9	9	Cheney	Bush	/	7738
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	BAY	Bay			59	59	Cheney	Bush	/	53404
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	BRA	Bradford			22	22	Cheney	Bush	/	7557
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	BRE	Brevard			221	221	Cheney	Bush	/	153068
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	BRO	Broward			1032	1032	Cheney	Bush	/	244674
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	CAL	Calhoun			15	15	Cheney	Bush	/	3782
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	CHA	Charlotte			83	83	Cheney	Bush	/	44428
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	CIT	Citrus			41	41	Cheney	Bush	/	39500
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	CLA	Clay			64	64	Cheney	Bush	/	62078
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	CLL	Collier			96	96	Cheney	Bush	/	83631
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	CLM	Columbia			25	25	Cheney	Bush	/	16758
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	DES	DeSoto			15	15	Cheney	Bush	/	5524
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	DIX	Dixie			11	11	Cheney	Bush	/	4434
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	DUV	Duval			285	285	Cheney	Bush	/	220190
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	ESC	Escambia			91	91	Cheney	Bush	/	93566
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	FLA	Flagler			34	34	Cheney	Bush	/	19633
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	FRA	Franklin			10	10	Cheney	Bush	/	3472
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	GAD	Gadsden			27	27	Cheney	Bush	/	6253
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	GIL	Gilchrist			10	10	Cheney	Bush	/	4936
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	GLA	Glades			13	13	Cheney	Bush	/	2443
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	GUL	Gulf			16	16	Cheney	Bush	/	4805
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	HAM	Hamilton			10	10	Cheney	Bush	/	2792
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	HAR	Hardee			12	12	Cheney	Bush	/	5049
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	HEN	Hendry			26	26	Cheney	Bush	/	5757
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	HER	Hernando			56	56	Cheney	Bush	/	42635
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	HIG	Highlands			27	27	Cheney	Bush	/	25878
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	HIL	Hillsborough			360	360	Cheney	Bush	/	245576
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	HOL	Holmes			18	18	Cheney	Bush	/	6412
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	IND	Indian River			57	57	Cheney	Bush	/	36938
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	JAC	Jackson			28	28	Cheney	Bush	/	12122
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	JEF	Jefferson			15	15	Cheney	Bush	/	3298
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	LAF	Lafayette			7	7	Cheney	Bush	/	2460
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	LAK	Lake			103	103	Cheney	Bush	/	74389
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	LEE	Lee			225	225	Cheney	Bush	/	144176
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	LEO	Leon			116	116	Cheney	Bush	/	51615
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	LEV	Levy			20	20	Cheney	Bush	/	10410
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	LIB	Liberty			10	10	Cheney	Bush	/	1927
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	MAD	Madison			11	11	Cheney	Bush	/	4191
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	MAN	Manatee			136	136	Cheney	Bush	/	81318
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	MRN	Marion			143	143	Cheney	Bush	/	81283
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	MRT	Martin			50	50	Cheney	Bush	/	41362
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	DAD	Miami-Dade			872	872	Cheney	Bush	/	361095
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	MON	Monroe			30	30	Cheney	Bush	/	19467
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	NAS	Nassau			24	24	Cheney	Bush	/	23783
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	OKA	Okaloosa			52	52	Cheney	Bush	/	69693
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	OKE	Okeechobee			18	18	Cheney	Bush	/	6978
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	ORA	Orange			263	263	Cheney	Bush	/	192539
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	OSC	Osceola			93	93	Cheney	Bush	/	43117
11/2/2004	REP	Republican	PRE	President and Vice President of the United States	PAL	Palm Beach			695	695	Cheney	Bush	/	212688
